id,area,cfr_28_subpart_d,ca_title15_or_statute,requirement,county_document,status,gap,priority,change_log,owner,target_date,disposition
11,Prevention Planning,115.315(e),15 CCR 1352.5,No search or physical examination of a transgender or intersex resident for the sole purpose of determining genital status.,OO 1352.5 (Transgender and Intersex Youth) IV.A.1-3 and IV.A.3.a-c,Addressed,"Closed, and in places the order exceeds the standard. IV.A.1 prohibits physically searching a youth to determine anatomical sex. IV.A.2 requires that unknown genital status be determined through conversation with the youth or medical records review, which is better than PREA Policy VIII.B, which contemplates a private physical examination and should be conformed to this order. IV.A.3 respects the youth's preference regarding the gender of searching staff whenever feasible. IV.A.3.a requires an Identification Preference Form for all youth at intake, supervisor review of any preference request, a direct meeting between the supervisor and the youth before authorizing, and documentation of the request, the rationale, and who conducted the search in the youth's file, JPIP, and the Strip Search Authorization Application. IV.A.3.b and c specify two-staff procedures for strip and pat-down searches with the preferred gender staff conducting and the second staff within hearing but out of view. This also resolves the tension flagged in revision 2 between OO 1360 III.B.4-5 and 1352.5: the two orders do reconcile, with 1352.5 supplying the exception. Recommend only that OO 1360 carry an explicit cross-reference so a reader of 1360 alone is not misled.",Low,MATERIALLY REVISED in 3: was Not Evidenced. OO 1352.5 closes this and resolves the OO 1360 conflict.,,,
12,Prevention Planning,115.315(f),,"Train security staff how to conduct cross-gender pat-down searches and searches of transgender and intersex residents professionally, respectfully, and in the least intrusive manner consistent with security needs.",None,Not Addressed,Not listed in OO 1322 or in the PREA policy training section. Directly relevant to the Use of Force Training Unit curriculum.,High,,,,
13,Prevention Planning,115.316(a)-(c),"15 CCR 1302 ('linguistically appropriate'), 1353","Ensure residents with disabilities and residents who are limited English proficient have equal opportunity to participate in all aspects of PREA efforts, including qualified interpreters and accessible written materials. Do not rely on resident interpreters or readers except in narrow circumstances.",PREA Policy II.B.5,Partial,"Accommodation is addressed only for resident PREA education. The standard reaches every aspect of prevention, detection, and response, including reporting and investigative interviews. The prohibition on using resident interpreters is absent.",Medium,,,,
14,Prevention Planning,115.317(a)-(h),15 CCR 1320(b)(4),"Do not hire, promote, or contract with anyone who has engaged in sexual abuse in an institution or been convicted or adjudicated for coercive sexual activity. Before hiring: criminal background check, child abuse registry check, and best efforts to contact all prior institutional employers about substantiated allegations or resignations during a pending investigation. Repeat background checks at least every five years. Ask applicants and employees directly about prior misconduct, impose a continuing duty to disclose, treat material omissions as grounds for termination, and respond to reference requests from other institutional employers.","Departmental hiring process (not produced); arrest and new-charge notification protocol (not produced); employee reporting requirement (confirmed by the department, source document not produced)",Partial,"Correction to revision 2: the department confirms that employees are required to report. Read against 115.317(f), that supplies the continuing affirmative duty to disclose, which revision 2 wrongly inferred was absent. Combined with formalized criminal background checks at hire, which addresses 115.317(c)(1), and the independent protocol by which new charges reach the department, which likely satisfies 115.317(e) because that subsection expressly permits a system for otherwise capturing such information for current employees in lieu of five-year re-checks, three of the eight subsections now appear substantially covered in practice. Two verification points on the reporting duty, both substantive rather than technical. First, produce the writing: an auditor scores the policy or the general order, not the practice. Second, confirm scope. An arrest or new-charge reporting rule is narrower than 115.317, which reaches conduct that may never generate a criminal charge, specifically prior sexual abuse in any institution, civil or administrative adjudications, and resignation during a pending investigation. If the duty as written covers only criminal charges, it does not reach the category the standard was drafted to capture. Still outstanding regardless: (c)(2) child abuse registry consultation, addressed separately in the register; (c)(3) best efforts to contact all prior institutional employers; (f) direct questioning of applicants and current employees about prior sexual misconduct in written applications, interviews, and self-evaluations, which is the intake side of the same subsection; (g) material omission as grounds for termination; and (h) responding to reference requests from other institutional employers.",High,REVISED in 2.1: the continuing affirmative duty to disclose exists. Remaining work is producing the writing and confirming its scope reaches non-criminal conduct.,,,
15,Prevention Planning,115.318(a)-(b),,"When designing, acquiring, expanding, or modifying facilities, and when installing or updating video or other monitoring technology, consider the effect on the ability to protect residents from sexual abuse.",None,Not Addressed,"No requirement that PREA implications be evaluated in capital planning or camera upgrades. Cheap to add now, expensive to retrofit after a build.",Low,,,,
16,Responsive Planning,115.321(a)-(b),"15 CCR 1452, 1453","Follow a uniform evidence protocol that maximizes usable physical evidence, developmentally appropriate for youth and adapted from the DOJ Office on Violence Against Women national protocol for sexual assault medical forensic examinations or a comparable authoritative protocol.","OO 1453 I.A.3, I.A.5, I.A.11; PREA Policy VIII.A",Partial,"OO 1453 supplies real evidence procedure: crime scene sealing, prevention of showering, collection of toilet tissue, and at I.A.11 a fallback protocol where the Sheriff's Department or CSI cannot respond immediately, under which the Duty Supervisor photographs the scene, gloves up, collects and marks evidence with date, time, location, ownership and description, seals and logs it, and places it in the evidence locker at Intake and Booking. That is a workable chain of custody procedure. Two concerns. First, the standard requires a uniform evidence protocol that is developmentally appropriate for youth and adapted from the DOJ Office on Violence Against Women national protocol or a comparable authoritative source; OO 1453 is a locally drafted procedure with no such derivation and no youth-specific adaptation. Second, I.A.11 authorizes a Duty Supervisor to collect sexual assault evidence with no stated training prerequisite. 15 CCR 1452 requires forensic medical evidence be collected by appropriately trained medical personnel not responsible for the youth's ongoing care. Scene evidence is not forensic medical evidence and the two are governed differently, but an untrained supervisor collecting evidence in a sexual assault case is a cross-examination target and a chain of custody risk. Add a training requirement and derive the protocol from an authoritative source.",High,REVISED in 3: OO 1453 evidence procedure credited; training prerequisite and protocol derivation identified as the residual gaps.,,,
17,Responsive Planning,115.321(c),"15 CCR 1452, 1453","Offer all residents who experience sexual abuse access to forensic medical examinations without financial cost, performed by SAFEs or SANEs where possible, with documented efforts to obtain them.",PREA Policy VIII.A; X.A-B,Partial,"Transport to a local medical facility (UC Davis Medical Center) for an evidentiary examination is required, which satisfies the 1453 off-site requirement. Missing: the SAFE/SANE preference, documentation of efforts to secure a SAFE/SANE, and the express statement that examinations are provided without financial cost to the youth.",Medium,,,,
18,Responsive Planning,"115.321(d)-(e), (h)",,"Attempt to make a victim advocate from a rape crisis center available to accompany and support the victim through the forensic examination and investigatory interviews; document efforts; where no rape crisis center is available, use a screened and trained community-based or agency staff member.","OO 1453 I.A.13; PREA Policy XV.A, XVI.A-B, I.AA",Partial,"OO 1453 I.A.13 is stronger than the PREA policy alone: it states that in most cases the victim advocate will be from a local Rape Crisis Center, recites the PC 264.2 right to an advocate or support person during the medical examination and the PC 679.04 right during investigatory interviews, and assigns Sheriff's Officers to follow YDF staff to the medical center. Remaining gaps: 115.321(d) requires the agency to attempt to make an advocate available rather than treating the advocate as something the victim invokes, and 115.321(e) requires documentation of those efforts. Neither appears.",High,REVISED in 3: OO 1453 I.A.13 credited.,,,
19,Responsive Planning,115.322(a)-(c),,Ensure an administrative or criminal investigation is completed for every allegation of sexual abuse and sexual harassment; maintain a policy referring allegations to an entity with criminal investigative authority; publish that policy on the agency website describing the responsibilities of both the agency and the investigating entity; document all referrals.,"OO 1453 I.A.8, I.A.10, I.A.14; PREA Policy VII.A.1, XII.A-C",Partial,"OO 1453 tightens this considerably. I.A.8 requires the Duty Supervisor to notify the Sheriff's Department immediately once it is believed a sexual assault occurred. I.A.10 requires the reporting or investigating officer to brief responding Sheriff's officers and provide an interview room. I.A.14 routes consensual sex act discovery and investigative reports to the Supervising District Attorney and the Sheriff's Sexual Assaults Unit. Remaining: publication of the referral policy on the department website describing the responsibilities of the agency and the investigating entity, documentation of all referrals, and an express commitment that every allegation, including sexual harassment, receives an administrative or criminal investigation. Note also that the PREA Policy Guidelines say sexual misconduct 'may be referred' to the District Attorney where 115.371(i) requires that substantiated conduct appearing criminal shall be referred.",High,REVISED in 3: OO 1453 referral provisions credited.,,,
20,Training and Education,115.331(a),"15 CCR 1322, 1324(d)-(e)","Train all employees who may have contact with residents on 11 enumerated topics, including the zero tolerance policy, their responsibilities under it, residents' right to be free from abuse and harassment, freedom from retaliation, dynamics of abuse in juvenile facilities, common reactions of juvenile victims, detection and response, avoiding inappropriate relationships, professional communication including with LGBTQI youth, mandatory reporting laws, and the applicable age of consent.",PREA Policy II.A.1-2 (a-g); OO 1322 III.B.1.e,Partial,"Seven of the eleven topics are present. Missing: the zero tolerance policy itself as a training subject; how to fulfill responsibilities under the agency's prevention, detection, reporting and response procedures; residents' right to be free from sexual abuse and harassment; the right of residents and employees to be free from retaliation; and relevant laws on the applicable age of consent.",High,,,,
21,Training and Education,115.331(b),,"Training tailored to the unique needs and attributes of juvenile residents and to the gender of residents at the employee's facility, with additional training when an employee transfers between a male-only and a female-only facility.",None,Not Addressed,"No gender-tailoring or reassignment-triggered training requirement. If YDF houses both genders in a single facility the reassignment clause has limited application, but the gender-tailoring requirement still applies and should be stated.",Medium,,,,
22,Training and Education,115.331(c),15 CCR 1322,"Refresher training every two years, with refresher information on current policies in the intervening years.",PREA Policy II.A.2 ('annually thereafter'); OO 1322 III.B.1.e,Addressed,"Annual PREA training exceeds the biennial federal minimum. Retain this. Verify that delivery and rosters actually match the policy, since audits test attendance records rather than policy text.",Low,,,,
23,Training and Education,115.331(d),,"Document, through employee signature or electronic verification, that employees understand the training they received.",PREA Policy II.A.2 (Acknowledgement Form for reading the policy),Partial,"The existing acknowledgement confirms the employee read and understood the policy, not that the employee understood the training. Add a training-comprehension attestation to the roster or LMS record.",Medium,,,,
24,Training and Education,115.332(a)-(c),15 CCR 1324(e),"Train all volunteers and contractors who have contact with residents on their responsibilities under the agency's prevention, detection, and response policies, at a level based on the services provided and level of contact, and maintain documentation confirming they understand the training.","PREA Policy II.A.1-2; Code of Conduct (Non-Sworn and Non-County Personnel), VIII Acknowledgment",Partial,"Volunteers and contractors are covered by the training sentence and sign a Code of Conduct affirmation. Missing: tiering of training level to level of resident contact, and documentation confirming comprehension of the training rather than receipt of the Code of Conduct. Note the Code of Conduct itself is dated 06/01/11 and contains no PREA content whatsoever, no zero tolerance statement, and no instruction on how to report sexual abuse, which 115.332(b) requires be given to every volunteer and contractor.",High,,,,
25,Training and Education,115.333(a),15 CCR 1353(c),"At intake, provide age-appropriate information explaining the zero tolerance policy and how to report incidents or suspicions of sexual abuse or sexual harassment.",PREA Policy II.B.1,Addressed,"Verbal and written intake information covering zero tolerance, prevention and intervention, reporting, and treatment is required. Confirm the Detention and Intake Responsibility policy is updated to reference it, since that policy contains no PREA content at all.",Low,,,,
26,Training and Education,"115.333(b), (e)",,"Within 10 days of intake, provide comprehensive age-appropriate education, in person or by video, on the right to be free from sexual abuse and harassment and from retaliation, and on agency response procedures; maintain documentation of resident participation.",PREA Policy II.B.3,Addressed,"The 10-day requirement, the in-person or video delivery option, and documentation of participation are all present.",Low,,,,
27,Training and Education,115.333(c),,Residents receive education upon transfer to a different facility to the extent the new facility's policies and procedures differ.,None,Not Addressed,No transfer-triggered re-education requirement. Relevant to movement between YDF and any other departmentally operated juvenile facility.,Medium,,,,
28,Training and Education,"115.333(d), (f)",15 CCR 1353,"Provide education in formats accessible to LEP, deaf, visually impaired, otherwise disabled, and limited-reading residents, and ensure key information is continuously and readily available through posters, handbooks, or other written formats.","PREA Policy II.B.2, II.B.4, II.B.5",Addressed,"Resident handbook, posted PREA notices with reporting telephone numbers in housing units, clinic, visiting, mental health offices, and booking and release areas, and accommodations for LEP and disabled youth are all required by policy.",Low,,,,
29,Training and Education,115.334(a)-(d),,"Investigators who conduct sexual abuse investigations must receive specialized training covering techniques for interviewing juvenile victims, proper use of Miranda and Garrity warnings, evidence collection in confinement settings, and the criteria and evidence required to substantiate a case for administrative action or prosecution referral; maintain documentation.","Internal Affairs Administrative Investigations (eff. 01/11/2011) VII, VIII",Not Addressed,"The Internal Affairs policy confirms the department conducts its own administrative investigations of employee misconduct, so this standard applies squarely. Section VII requires an Administrative Admonishment or a Lybarger warning before every interview or interrogation, which is the California analog of the Garrity element of 115.334(b), and section VIII sets out interrogation conduct rules. What is absent is the training itself: no requirement that investigators be trained in techniques for interviewing juvenile sexual abuse victims, in sexual abuse evidence collection in confinement settings, or in the criteria and evidence required to substantiate a case for administrative action or prosecution referral, and no documentation that investigators completed such training.",Critical,REVISED: gap text updated. IA policy confirms the standard applies and supplies the Lybarger element only.,,,
30,Training and Education,115.335(a)-(d),,"Train all full- and part-time medical and mental health practitioners who work regularly in the facility to detect and assess signs of sexual abuse, preserve physical evidence, respond effectively to juvenile victims, and know how and to whom to report; document the training; ensure they also receive employee or contractor training.",PREA Policy IX.A.1-4 and Note,Addressed,"All four required subjects are stated, plus the forensic examination training and documentation caveat. Confirm training records for clinic and mental health staff are actually retained on file at YDF as the policy note requires.",Low,,,,
31,Screening,115.341(a),15 CCR 1350.5,"Within 72 hours of arrival and periodically throughout confinement, obtain and use information about each resident's personal history and behavior to reduce the risk of sexual abuse by or upon that resident.",OO 1350.5 I.A; OO 1352 (Classification) V.A-C,Partial,"The 72-hour initial assessment is required and matches Title 15. On periodic reassessment, OO 1352 V now supplies a partial answer: a classification review at 90 days and every 90 days thereafter, following any major disciplinary action or emergency circumstance, and on the request of a Duty Supervisor, Mental Health, or Medical staff. Two limits. First, most youth are released well before 90 days, so the interval review will rarely trigger. Second, this is a security classification review, not a reassessment against the 11 sexual abuse risk factors. Add an express PREA reassessment trigger set: on receipt of new information, after any sexual abuse allegation or incident, on referral by staff or a clinician, and at the youth's request.",High,REVISED: OO 1352 V classification review cycle credited; gap narrowed and sharpened.,,,
32,Screening,115.341(b),,Assessments shall be conducted using an objective screening instrument.,"OO 1352 I.B.6 (MAYSI-2), I.B.12 (CATS, ATV), II.F-H (S-4 criteria)",Not Addressed,"The department does use objective instruments, but none of them screens for sexual abuse risk. MAYSI-2 is administered, scored, and acted on before any housing assignment, and CATS and ATV are completed at classification, but these are mental health, suicide, trauma, and violence instruments. The S-4 classification supplies structured criteria for sexual risk and is the closest thing in the packet to an instrument, but it is applied on a totality-of-circumstances judgment by the Classification Officer rather than through a scored instrument, and it does not capture the 11 factors of 115.341(c) and 15 CCR 1350.5. Adopt a validated or structured sexual abuse risk instrument producing a documented, reviewable output.",Critical,"REVISED: gap text updated to credit MAYSI-2, CATS, ATV, and the S-4 criteria while explaining why none satisfies the standard.",,,
33,Screening,115.341(c)-(e),15 CCR 1350.5(a)-(k),"Ascertain the 11 enumerated risk factors through intake conversations, medical and mental health screenings, classification assessments, and record review; control dissemination of the responses so sensitive information is not exploited to the youth's detriment.",OO 1350.5 I.A.1-11,Addressed,All 11 factors are reproduced and the information-source language tracks the regulation. Note the operational order omits the Title 15 sentence on controls over dissemination that appears in the Purpose and Scope section only as 'all classification material shall be confidential.' Restating the dissemination-control duty as an operative requirement would close the residual exposure.,Low,,,,
34,Screening,115.342(a),15 CCR 1352,"Use screening information to make housing, bed, program, education, and work assignments with the goal of keeping residents safe from sexual abuse.","OO 1352 (Classification), Purpose and Scope; I.B.9-11",Addressed,"The Purpose and Scope paragraph states that the Classification Officer shall use all information obtained to make housing, bed, program, education, and work assignments for youth with the goal of keeping all youth safe and free from sexual abuse in accordance with the Prison Rape Elimination Act. That is the standard almost verbatim. One tightening step: OO 1350.5 should cross-reference OO 1352 so the screening output is expressly an input to classification.",Low,MATERIALLY REVISED: was Partial / High. OO 1352 states the standard nearly verbatim.,,,
35,Screening,"115.342(b), (h)-(i)","15 CCR 1354, 1354.5; WIC 208.3",Isolate residents only as a last resort when less restrictive measures are inadequate and only until an alternative can be arranged; do not deny daily large-muscle exercise or legally required education; provide daily visits from a medical or mental health clinician; document the basis for the safety concern and why no alternative separation is available; review every 30 days.,"PREA Policy III.D; OO 1352 III.E.1.a (S-4 High single room), III.I (S-8 single room)",Partial,"Last resort standard, daily large-muscle exercise, legally required education, and the 30-day review are present in PREA Policy III.D. Defects: the policy says 'regular visits from medical or mental health staff' where the standard requires daily visits from a clinician, and it does not require documentation of the basis for the safety concern or of why no alternative separation could be arranged. OO 1352 adds a further problem by mandating single-room housing at all times for S-4 High and for S-8 by category, without the individualized documentation 115.342(h) requires. All protective separation must also be reconciled with WIC 208.3 and 15 CCR 1354.5, which impose a four-hour review cycle and documented supervisor authorization. The PREA policy predates 208.3 and does not address the interaction.",High,REVISED: OO 1352 categorical single-room rules added to the gap.,,,
36,Screening,115.342(c),15 CCR 1352(e)-(f),"LGBTI residents shall not be placed in particular housing, bed, or other assignments solely on the basis of that identification or status, and such status shall not be considered an indicator of likelihood of being sexually abusive.","OO 1352 II.M (S-8), III.I; OO 1352.5 III.H; PREA Policy III.E",Conflict,"Unchanged as a finding and now supported by a fourth internal contradiction. OO 1352 II.M creates classification S-8 for any LGBTQI youth and III.I requires single-room housing at all times for S-8. That conflicts with 115.342(c), with 15 CCR 1352(e), with the Purpose and Scope paragraph of OO 1352 itself, with PREA Policy III.E, and now with OO 1352.5 III.H, which states that staff shall not consider a youth's sexual orientation or gender identity as a reason to isolate or withhold program options. OO 1352.5 took effect March 1, 2019. OO 1352 created S-8 effective December 9, 2019 and was revised February 27, 2020. The department adopted the correct rule first and then adopted the opposite rule twice afterward. Note that S-8 is materially broader than the OO 1352.5 III.I provision, because it sweeps in lesbian, gay, bisexual, and questioning youth for whom no anatomical privacy rationale exists at all.",Critical,REVISED in 3: OO 1352.5 III.H adds a fourth internal contradiction and a damaging chronology.,,,
37,Screening,115.342(d)-(g),15 CCR 1352.5(a)-(e),"Decide transgender and intersex facility, housing, and program assignments case by case considering health, safety, and management concerns; reassess at least twice yearly; give serious consideration to the resident's own views on safety; provide the opportunity to shower separately.","OO 1352.5 II.A-D, III.A-K",Conflict,"Nearly everything required is present, and one provision undoes part of it. Present and in two places exceeding the standard: individualized assessment at admission with an Identity Preference Form (III.A); no automatic housing by external anatomy and documented reasons for any placement not matching gender identity (III.B); consideration of the youth's preferences and provider recommendations (III.C), which closes 115.342(f); housing based on individualized needs prioritizing emotional and physical safety and considering the youth's own perception of where they will be most secure, documented in JPIP classification comments with date and justification (III.F); reassessment of placement and program assignment monthly or as needed (III.G), which exceeds the twice-yearly minimum at 115.342(e); a prohibition on considering sexual orientation or gender identity as a reason to isolate or withhold program options (III.H); private showers for all youth (III.J), which closes 115.342(g); and preservation of program participation despite private accommodations (III.K). The defect is III.I: all transgender and intersex youth shall be provided a single room. That is a categorical housing outcome assigned by status, which is what 115.342(c) and 15 CCR 1352(e) prohibit, and it contradicts III.B, III.F, and III.H within the same order. This version is more defensible than the S-8 mandate in OO 1352 because it is limited to transgender and intersex youth, states a privacy and safety rationale, and preserves program access, but categorical is still categorical. The fix is narrow: make a single room the presumptive result of the III.F individualized determination with documented reasons, rather than an automatic rule.",High,MATERIALLY REVISED in 3: was Not Evidenced. OO 1352.5 largely closes the standard; III.I is a discrete conflict.,,,
38,Reporting,115.351(a),15 CCR 1361(h),"Provide multiple internal ways for residents to privately report sexual abuse and sexual harassment, retaliation, and staff neglect or violation of responsibilities that may have contributed to an incident.","OO 1361 (Grievances) I.C, I.D, II.A, II.B; PREA Policy II.B.2",Partial,"OO 1361 I.C is strong: a youth reporting sexual assault or sexual harassment may use the grievance process in addition to telephone and in-person reporting, and may report to probation, medical, or mental health staff. I.D requires grievance forms to be accessible in each living unit without asking staff. II.B allows the youth to place the grievance in the secured box personally. II.A requires staff assistance within two hours of request. That is multiple private internal routes. Remaining gap: the standard also requires internal routes for reporting retaliation and for reporting staff neglect or violation of responsibilities that may have contributed to an incident. Neither is named as separately reportable.",Medium,REVISED: was Partial / High. OO 1361 supplies multiple internal private routes; gap narrowed to retaliation and staff-neglect reporting.,,,
39,Reporting,115.351(b),15 CCR 1361(h),"Provide at least one way for residents to report abuse or harassment to a public or private entity or office not part of the agency, able to receive and immediately forward reports to agency officials, allowing the resident to remain anonymous on request.","OO 1361 I.C (WEAVE, Office of the Inspector General); OYCR Ombudsperson per department; attorney access",Partial,"Updated on department information: youth advocates no longer exist, and external access now consists of the Office of Youth and Community Restoration Ombudsperson, attorney access, and the WEAVE and Inspector General lines named in OO 1361 I.C. Assessment of each against the standard, which requires an entity not part of the agency, able to receive and immediately forward reports to agency officials, with anonymity available on request. The OYCR Ombudsperson is the right answer and very likely satisfies it: a state office with statutory authority under WIC 2200 and following to receive complaints from youth in any juvenile facility, independent of the department, with a toll-free number WIC 224.72 already requires be posted. Attorney access does not satisfy it, because counsel represents the youth and is not a channel that forwards reports to agency officials. WEAVE satisfies 115.353(a) outside support, not this standard. Three steps close it: name the OYCR Ombudsperson in OO 1361 I.C and correct or remove the Office of the Inspector General reference, whose statutory oversight runs to CDCR; obtain written confirmation from the Ombudsperson's office of its forwarding practice and its handling of anonymous complaints; and state in policy that a youth may remain anonymous on request. This is a drafting and confirmation task, not a construction task.",High,REVISED in 3: youth advocates eliminated; OYCR Ombudsperson identified as the operative channel. Path to closure is now specific.,,,
40,Reporting,115.351(c)-(d),,"Staff shall accept reports made verbally, in writing, anonymously, and from third parties, and shall promptly document verbal reports; the facility shall provide residents access to the tools necessary to make a written report.","OO 1361 I.C, I.D, II.A, II.B; PREA Policy V.A.3",Partial,"Free access to grievance forms in every living unit (I.D), confidential deposit in the secured box (II.B), staff assistance within two hours (II.A), and verbal and in-person reporting (I.C) are all covered, which satisfies 115.351(d) and much of (c). Remaining gap: no statement that staff shall accept anonymous reports and third-party reports, and no requirement that verbal reports be promptly documented. Verbal reporting is authorized by I.C but nothing says what the receiving staff member must then write down.",Medium,"REVISED: was Partial / High. OO 1361 closes the tools-and-access half; gap narrowed to anonymous, third-party, and documentation of verbal reports.",,,
41,Reporting,115.351(e),,Provide a method for staff to privately report sexual abuse and sexual harassment of residents.,None,Not Addressed,"Reverts to Not Addressed. Revision 2.1 credited non-agency staff advocates as a possible private staff reporting route; the department confirms those advocates no longer exist. Staff therefore have no private channel for reporting sexual abuse or sexual harassment of a resident. The PREA policy and OO 1453 both route staff reports to the Duty Supervisor, which is not private where the suspected abuser is a supervisor or sits in the reporting staff member's chain of command. This is a discrete gap with a cheap fix: a confidential line, a named recipient outside the chain, or an express route to Internal Affairs stated in policy.",High,REVISED in 3: downgraded from Partial. The advocates credited in revision 2.1 no longer exist.,,,
